	Cragig|100	Cragig|62	Cragig|66	Cragig|80	Cragig|96	Cragig|Cath+-1	Cragig|Cath+-2	Cragig|Cilia-1	Cragig|Cilia-2	Cragig|Cilia-3	Cragig|Cilia-p1	Cragig|Cilia-p2	Cragig|Gut-1	Cragig|Gut-2	Cragig|Gut-3	Cragig|Gut-4	Cragig|Gut-rel-1	Cragig|Gut-rel-2	Cragig|Gut-rel-3	Cragig|Gut-top	Cragig|Gut-unk-1	Cragig|Gut-unk-2	Cragig|Gut-unk-3	Cragig|Gut-unk-4	Cragig|Mes-Macif+1	Cragig|Mes-Macif+2	Cragig|Mes-TegA+1	Cragig|Mes-TegA+2	Cragig|Mes-TegA+3	Cragig|Myo-1	Cragig|Myo-2	Cragig|Myo-p1	Cragig|Myo-p2	Cragig|Neo-1	Cragig|Neo-2	Cragig|Neo-3	Cragig|Neuron-APGWV+	Cragig|Neuron-GNRH+	Cragig|Neuron-IPRF+	Cragig|Neuron-LASGV+	Cragig|Neuron-MIP+	Cragig|Neuron-Sy65-4+	Cragig|Neuron-cilia-1	Cragig|Neuron-cilia-2	Cragig|Neuron-p1	Cragig|Neuron-p2	Cragig|Pharynx	Cragig|Proneph	Cragig|Rha-1	Cragig|Rha-2	Cragig|Unk
Procro|Neu-Ap	0.015769850267949224	0.0	0.0	0.2267554082676972	0.05047685691301369	0.0042058386659287236	0.0	0.194964576071301	0.17633326480803607	0.20399247821590089	0.0	0.057146319290682285	0.08962843526918454	0.019095362622349083	0.058689287732674796	0.07679307988540936	0.0	0.032431717120346586	0.014933466256470315	0.0	0.04728848046853349	0.02388027542834081	0.0	0.010981290110003847	0.01157657208066588	0.004679107421061388	0.0	0.012407201849522438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23530982552842541	0.2513376040756428	0.12245961996313544	0.07689796507965484	0.2149517061368291	0.022260826729720472	0.10961344572006093	0.08300672194690303	0.0	0.0587723605798661	0.13045868093843738	0.16409406629844944	0.0	0.0	0.05005069632029458
Procro|Neu-Pos	0.0331307378147831	0.0	0.0	0.3456166520775723	0.061726432328922214	0.03718204622009849	0.0	0.28700110848674926	0.27139149413120833	0.3613491308729518	0.0	0.05697065413241465	0.13577530081938893	0.03059629517510246	0.10386195445121818	0.10858097778365844	0.0	0.05437318113770253	0.03401333766272031	0.0044714972448762986	0.060950156912940055	0.03998402869320465	0.0	0.028981001886616137	0.014795129609757719	0.004015492508484865	0.0	0.06357921021662527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2303637096363034	0.32875532419567816	0.2070653190797463	0.02440970787958521	0.26173424702540066	0.05675000295681689	0.17711507743018085	0.14470832581675244	0.0	0.08988482779321805	0.1947462469876393	0.27191835650438745	0.0	0.0	0.016451087543068597
Procro|Pro-1	0.0	0.0	0.3252091916472975	0.0	0.05191214760476451	0.0	0.0	0.0	0.0	0.0	0.44272328688011553	0.24379165863582763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10003320412828932	0.15495014525989326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0857778007963275	0.04104810431863718	0.42072875793580333	0.423818293620217	0.47103849772262774	0.4546377679957619	0.4527157743779208	0.0	0.0	0.05184013969992417	0.14871733067196505	0.0	0.0	0.0	0.0	0.44204891740498825	0.1743718216475563	0.0	0.0	0.00406313911352223	0.0	0.3919643020935396
Procro|Pro-2	0.0	0.0043403305768366755	0.44110769286652274	0.0	0.059122232730059565	0.0	0.0	0.0	0.0	0.0	0.5304453233118064	0.34139668384003397	0.0	0.02915388751891475	0.0	0.0	0.0	0.0	0.0	0.0	0.1315575713141386	0.19490344916436966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01892487328092811	0.0	0.48466365676397827	0.4885756336540793	0.5624057547310954	0.5221371451177294	0.5066666892300167	0.0	0.0	0.021594192026163674	0.13421585924924906	0.0	0.0	0.0	0.0	0.49128513462222934	0.19390134084025815	0.0	0.0	0.039207690197569624	0.03766474168844858	0.4555408662246379
Procro|Pro-3	0.0	0.0	0.41021158826475784	0.0	0.06502598073562134	0.0	0.0	0.0	0.0	0.0	0.5091998805376262	0.30490822330932726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14025185196739834	0.21417072305499427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02907838225920033	0.0	0.5314642252779908	0.515022112757056	0.5968748368098731	0.5692989687358877	0.5584068951377235	0.0	0.0	0.02807091676266038	0.18060179919323763	0.0	0.0	0.0	0.0	0.4867251383415957	0.1702948531304495	0.0	0.0	0.02849990505088424	0.019474322015749324	0.5028700101969662
Procro|Pro-4	0.0	0.0	0.2356481798236324	0.0	0.06609227727634141	0.0	0.0	0.0	0.0	0.0	0.33390108018337983	0.09754220874672681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0824895479321057	0.14291358398638854	0.0	0.0	0.01148001238108454	0.0	0.0	0.0	0.0	0.13751872008582086	0.10757796739320177	0.44681478891773424	0.4235845371551202	0.456198981690777	0.4645093971083491	0.47430303456343736	0.0	0.0	0.009877584963738507	0.19090967749479598	0.0	0.0	0.0	0.0	0.3445422538704459	0.08019143374206303	0.0	0.0	0.004971380877366847	0.0	0.39779139244872735
Procro|Pro-5	0.0	0.0	0.34320725831832777	0.0	0.07175300562030523	0.0	0.0	0.0	0.0	0.0	0.4634636859368845	0.2526814358779328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12860142761406299	0.18137202842790773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05251073283821962	0.0	0.5344618688883503	0.512801398915296	0.5800809635974129	0.5593775895595173	0.5525033382392692	0.0	0.0	0.038543887638941995	0.2204504126408281	0.0	0.0	0.0	0.0	0.489726937760992	0.1816551656552739	0.0	0.0	0.02295199846443517	0.010896011064268473	0.48930699551183005
Procro|Pro-6	0.0	0.0	0.24429487555176518	0.0	0.04193492295822592	0.0	0.0	0.0	0.0	0.0	0.32140563646624304	0.247283174429921	0.02808283765015337	0.0391513793702412	0.0	0.0	0.0	0.0	0.0	0.0	0.10202286063365565	0.14436603134555312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2763851680119366	0.27725717975815134	0.32359086219928446	0.30107813020598295	0.2959643435717869	0.0	0.0	0.07245792385142491	0.09858875738576166	0.0	0.0	0.0	0.0	0.33488967946752984	0.20646998008213102	0.02339966984619528	0.0	0.00785549058786652	0.010378655271705811	0.28819705751905034
Procro|She-1	0.04670694151729504	0.010304813466222348	0.0	0.1326423159711301	0.001484910255768001	0.02723678038951222	0.048518862972170194	0.13303840202744202	0.22445389399514318	0.15970453786071392	0.0	0.0	0.016347475164425244	0.0	0.09388665973760892	0.12452429562221869	0.07082514807962273	0.1284588919560167	0.07106041797106884	0.09892783290263404	0.0	0.0	0.08567413073983587	0.07746913303086914	0.024503457677811192	0.0376729791322321	0.0	0.13715393324148173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06697707016691365	0.14137857116022576	0.008005111699615012	0.0	0.12617764064603343	0.15071839111344176	0.10221580965434747	0.09335274899647773	0.0	0.0	0.05849082898886	0.1550653617209748	0.0052520530349116695	0.0	0.0
Procro|She-2	0.03628867726729349	0.0	0.0	0.1038333104837042	0.0	0.01889480676547038	0.05460822052646624	0.11063873706063572	0.24496097870176228	0.12776894365482813	0.0	0.0	0.0	0.0	0.09454355948646663	0.1457345170416102	0.09227373326055509	0.1525188850316134	0.08548514120590976	0.12031415742402553	0.0	0.0	0.0997317551670681	0.1147470478701096	0.04451022256395682	0.061970525559416914	0.0	0.18242168365069586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08528300940364021	0.1682683527311596	0.0	0.0	0.13258793920182396	0.15767325789418218	0.10836311710379964	0.1027260485084474	0.0	0.0	0.026163694190181955	0.1605846305771118	0.0	0.0	0.0
