	13.21	15	25	48	49	Cilia-1	Cilia-2	Cilia-3	Cilia-4	Hem-1	Hem-2	Hem-3	Hem-4	Myo-AA	Myo-DVR-1	Myo-DVR-2	Myo-DVR-3	Myo-LVR-1	Myo-LVR-2	Myo-Pax6+	Myo-VVR	Neu-Ap	Neu-Pos	Pro-1	Pro-2	Pro-3	Pro-4	Pro-5	Pro-6	She-1	She-2	She-3	She-4	She-5	She-rel	Unk	Unk-Apical
Cragig_G26374	1.0009809259713545	0.9349301000570516	1.0451661023281091	0.878940098086766	1.1332219229620972	0.970141201204573	0.9805616084346487	1.0763025776619672	1.0417888086483302	0.9395296507501179	0.9618930504954195	0.95887570804035	0.9749543485883913	1.6731054366930505	1.1311939683886174	2.758181109996833	2.8938698308286073	2.9743812104326994	2.371623627786796	1.1584840781207832	0.981065824172928	0.9834078428196626	1.0145099004742784	1.031766188452124	0.9648676219348813	1.003616989670198	1.0	1.0437735727127377	0.878940098086766	0.878940098086766	0.9865312091819164	0.878940098086766	0.9599044163657816	0.878940098086766	1.1592292100381425	1.1349165377298176	0.980070289543079
Cragig_G27200	1.0820451333731136	1.0882801330547278	0.8616745962333116	0.8616745962333116	0.8616745962333116	1.1128777580162605	0.9986781154648313	1.0461570497916413	0.8616745962333116	0.991996255548823	0.9985616968008196	0.9400399872097266	1.045247793792562	0.943211700494324	1.0238943063328825	0.9802406370576858	0.9773001080136768	0.8616745962333116	0.9011664234793464	1.0	1.1017106288540786	1.0677541944555144	0.9604400751411034	1.1441115807921058	1.014026712042247	1.0000263217644927	1.0045000886212105	1.0029520912595578	1.0849879478532645	1.009110018796285	0.9309139225911446	0.8616745962333116	0.948330494407924	1.170996014780898	0.9896669787596105	1.0258701602267433	1.0107567879079917
Cragig_G24257	1.0338765297730443	0.9765246264941096	1.0420139837678593	0.9464314329149859	1.1574649351664177	1.0446356118972637	0.9708794409638112	0.9814490023473529	0.9464314329149859	0.96377245536264	0.9709795926287471	0.9634719856756786	0.9726903841711959	1.1635643997262792	0.9967673627859633	1.2684254279088005	2.630360967877849	1.388240518049311	1.70417866442164	1.8872021409035569	1.023043690555911	0.9988230240543541	1.1925756864673498	1.0556099648493316	0.9464314329149859	0.9987180896409269	1.0658251879984746	1.013904485530657	0.9464314329149859	1.0	0.9746589938823871	1.0585909689775908	0.9647106495311611	0.9464314329149859	0.9464314329149859	1.0363811015955402	1.0007454491051644
Cragig_G26536	1.0	1.0	1.0335117971595105	1.0	1.0	1.0517931556481737	1.00367307097904	1.0	1.0	1.0330982471359824	1.0103495453820288	1.018005057913396	1.0069175850289678	1.0200122741727309	1.0265326406223905	1.0	1.0	1.0	1.0	1.0	1.0144373499445543	1.0	1.0	1.0	1.0188970714490235	1.0141484774374576	1.0	1.0125965563362127	1.0	1.0	1.0049455012387485	1.0	1.0	1.0	1.0	1.0079020911559762	1.0573882209542562
Cragig_G24097	1.116115408289907	0.9734555369677628	0.987543514533797	0.7967291517174704	0.8999255036106767	1.225054576384457	1.0236392150763292	0.9641801172994593	1.011938252188676	0.9710754375048238	0.9042139214048711	1.0690015386523377	0.8552744580797357	0.8670377507851845	1.101084405471308	0.9848566722858596	0.958823855057598	0.9251936485203623	0.9270830027248252	0.930195804848026	1.0245388651228382	1.0980297902379914	1.0278758875919842	1.4224417715344038	1.3473652695463776	1.2669614748597884	1.1405736876367434	1.138182348180116	1.8821261317502274	0.9043656769768268	0.9451730207640345	1.0036212084257565	0.8723103624761602	1.0	1.002824306272209	1.2057549003077876	0.9060162713735442
Cragig_G25085	0.9682318076073445	1.097930221207047	0.9464314329149859	1.0247359945216203	0.9464314329149859	0.9464314329149859	0.9955948706889943	1.0256182918177963	0.9464314329149859	0.988310239334004	0.9709795926287471	1.0184991572247517	0.9661079071756108	1.030595120958021	0.9464314329149859	1.0069393490537422	0.9784368346768573	0.9464314329149859	1.0334714429575622	0.9939790357502244	1.084126505731834	1.0308953931602296	1.0549117735608027	1.000757934274116	1.0584194105328042	1.0052122388758142	0.9981297888033118	1.0510568108301805	0.9464314329149859	1.0	0.9746589938823871	1.0585909689775908	0.9894943100676158	1.1141246348214013	0.9742681374021729	1.0138518662779807	1.0007454491051644
Cragig_G27808	1.0018553711084117	1.0187015133132598	0.9897887775329768	0.9576947067786731	1.0637690011326588	1.0570675922556507	0.9966915195727273	0.9972805469571685	0.9576947067786731	0.9717201362453952	0.9626464987511347	0.986482303247235	0.9776053464638196	1.078659662352393	1.0600252223542725	1.0702745110992056	1.0228761553688657	1.0799819333120966	1.0015872783827042	0.9817015103778437	0.9576947067786731	1.0	1.0519192580790213	1.0681725485863438	1.0129185232061484	1.0032714427567908	0.9837772049588637	1.0311330313475324	0.9576947067786731	0.9576947067786731	0.9766980721860925	0.9576947067786731	0.9824162271599389	0.9576947067786731	1.0141714880929613	1.010734949744992	1.012655102218009
Cragig_G27843	1.0	1.0957160949947842	1.0	1.0	1.0	1.0	1.0147265969371846	1.0205437605634855	1.1852785086447248	1.0	1.0051705328821516	1.0119932226205746	1.0	1.0133256204162497	1.0531849726460838	1.0	1.0	1.0	1.0	1.0	1.0	1.033047225340586	1.0	1.0	1.0381163331369854	1.0	1.0	1.0	1.0	1.0	1.0049455012387485	1.0	1.0	1.0	1.0	1.0079020911559762	1.0
Cragig_G24307	1.0	1.1426354981250333	1.0	1.0	1.0	1.0	1.0	1.0102411910417797	1.0	1.0073094807727283	1.0	1.0	1.0	1.0	1.0265326406223905	1.015262091144854	1.0	1.0	1.0	1.0083442030222909	1.0144373499445543	1.0219761075446285	1.0	1.0	1.0188970714490235	1.0184470910621577	1.0	1.0125965563362127	1.2591620463178739	1.0	1.0	1.0	1.0064071927913183	1.0	1.0294122780785615	1.0633082210496574	1.0
Cragig_G25592	1.0	1.0317964857596047	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0051705328821516	1.0	1.0	1.0	1.0	1.0	1.0558975581163466	1.0	1.0458314860605937	1.0	1.0	1.010960458401011	1.0	1.0	1.0188970714490235	1.0141484774374576	1.027234668830866	1.0	1.0	1.0	1.0049455012387485	1.0	1.0	1.0	1.0	1.0079020911559762	1.0
